Region/Country,Jan_20,Feb_20,Mar_20,Apr_20,May_20,Jun_20,Jul_20,Aug_20,Sep_20,Oct_20,Nov_20,Dec_20,Jan_21,Feb_21,Mar_21,Apr_21,May_21,Jun_21,Jul_21,Aug_21,Sep_21,Oct_21,Nov_21,Dec_21,Jan_22,Feb_22,Mar_22,Apr_22,May_22,Jun_22,Jul_22,Aug_22,Sep_22,Oct_22,Nov_22,Dec_22,Jan_23,Feb_23,Mar_23,Apr_23,May_23,Jun_23,Jul_23,Aug_23,Sep_23,Oct_23,Nov_23,Dec_23,Jan_24,Feb_24,Mar_24,Apr_24,May_24,Jun_24,Jul_24,Aug_24,Sep_24
     U.S.A,116995.24,105295.76,118274.2985,118681.16,139986.39,142623.41,135880.9,155515.7,155714.0094,156361.8074,151895.99,168767.77,169810.7126,153468.5222,162637.25,171280.5918,182618.4944,179973.4495,196411.68,179151.2409,191535.4,222508.04,211524.87,221536.4665,209137.4129,186503.3539,213806.0357,210810.6951,195145.8532,183360.96,184865.4143,181585.5622,186426.4221,191552.0061,192760.2056,198478.1565,204314.3,182382.2515,205438.4456,182819.6222,189292.124,189017.5413,208381.7163,192364.3485,183771.2366,190848.8695,196754.4896,215008.1508,221007.4299,207165.6483,216327.5429,195971.5618,214592.1372,196119.84,216602.9509,237719.2812,231710.0973
     Canada,3393.74,2893.7,2663.70411,3287.35,4242.15,4049.55,4823.25,3700.75,8444.34,3633.403,4349.542,5574.94,5463.34621,6306.386949,8340.829264,9993.176162,10352.44669,8912.072512,9755.298139,10125.24664,6130.584825,3322.82,3384,5308.24695,5936.938394,5405.110158,7911.428843,7738.11563,7061.70817,8658.822107,7020.302759,4596.799442,5884.77251,5303.712188,7013.514379,6676.248461,6593.443688,5771.071956,5511.143257,3997.337599,4629.945032,5648.868854,8460.200719,9040.395377,10334.47335,11104.2014,5641.155158,6379.144866,6108.911297,7137.082999,9244.112033,17452.87699,10381.46795,10355.10204,10119.84087,11302.31296,10893.76908
     Bahamas,539.73,421.88,424.68,36.89,36.89,56.2,75.96,4.22,8.72,82.28,10.91,8.09,23.57769421,19.04198695,308.7460565,47.26724628,14.61415251,11.43188819,37.88716281,40.44135085,35.19622635,36.94794087,3.948704783,138.2960859,41.80111191,10.68487419,117.0920522,18.59467439,42.90484845,40.32376444,40.30191865,38.12113214,40.42185193,140.1968814,48.83235721,39.98704701,47.37464329,15.36065621,51.82824775,46.59952262,90.06955519,45.26484068,16.82230304,81.85111359,58.78028733,52.19446291,63.73491851,56.54034408,53.16603186,218.2660812,35.88295623,86.15961064,33.24946233,259.6021033,87.98286755,83.41486442,55.76530539
     United Kingdom,21190,17567.83,18778.69654,16191.04,18911.83,19120.09,22901.2,20640.05,16412.68,20006.02,18432.42,20077.7,18883.09415,23262.0033,32653.00812,33127.65066,34587.36103,31100.507,36362.33051,28533.52577,25759.86561,18591.41,14596.72,21444.94666,25398.01223,25885.72956,26890.7009,27267.79094,26344.08971,26801.13,26014.59287,27425.35954,25579.09345,30570.95,33332.3564,31609.50561,22718.28283,25187.57655,30928.15412,24026.09846,32303.19042,34159.13626,35566.08438,23712.06652,27097.43005,23242.50969,28165.64902,27083.92869,49023.28545,31274.59437,32099.30644,18902.30908,27586.99088,24557.87541,30209.46111,27047.84997,29875.45311
     Germany,6963.54,6156.28,6774.23513,6246.75,6960.64,7308.3,7579.67,7210.99,6607.18,7175.26,8540.898,12083.13,10272.89101,7360.835933,8093.270607,9583.276151,10605.95214,9195.428896,10655.97979,10412.66277,8414.38,10788.24,9867.01,10966.79716,10789.24641,9114.898636,11269.94882,10170.53442,11410.55551,10130.73458,10289.51311,9754.845994,8855.873029,9977.432031,13317.84201,14466.36554,14432.56753,10868.06184,13623.64313,10027.23031,12113.45509,12095.03048,13468.56201,18276.33576,20604.4469,22684.20782,13525.24864,14095.52654,14925.92067,13537.44215,14976.2329,31898.207,13938.45653,13830.03033,15955.46013,15779.50616,15072.80182
     Switzerland,4291.64,2715.86,4404.404,2218.32,4305.01,3984.58,3668.62,3943.09,3250.08,6072.98,4948.7,5424.26,4846.380052,4225.819154,3822.558799,3869.731889,3618.059653,4838.472869,5314.392796,3279.273266,3646.925798,4186.342304,4351.209626,3917.772953,3838.34855,4315.191938,4378.18167,3787.307362,4411.393567,4245.120396,3450.668501,3942.954235,5233.741418,4557.473627,4780.154756,3759.212631,4012.234645,4111.834763,5464.442517,3764.889855,4345.915631,5826.654713,4116.792451,3098.055664,3769.251743,2921.875877,2957.815142,3988.349648,3156.750102,2964.910851,4374.47157,5828.569495,5753.313116,3490.906788,4351.451625,4860.369979,3965.515053
     Netherlands,1828.68,1745.86,1578.38275,2299.93,1386.81,1321.95,2101.62,1481.81,1705.94,2719.09,1824.47,2281.03,1805.870382,1872.537817,1940.055112,1772.95892,2364.166052,1888.517348,2022.940898,1854.682125,1846.71,1172.84,1196.66,1960.291383,2242.020055,1992.118523,2154.096171,2267.137827,2286.525624,2099.407165,2086.324948,1311.965654,2550.903322,1628.232321,2007.439628,1894.18772,2275.944134,1721.527624,1755.145592,1254.300641,1476.924981,1998.579603,1971.842386,1473.04176,1752.408338,1778.565048,1686.180721,2182.310077,2141.591727,4614.907124,2101.522682,1651.615602,2254.062786,2116.076836,2701.364753,2460.686686,2604.649939
     Italy,2138.26,1700.16,1732.41607,1727.25,2144.39,2690.81,2184.98,3196.78,2279.2,3123.46,5022.88,5684.68,3501.590584,1755.416789,2289.384,2418.422761,2173.215295,2256.393763,2243.356905,1786.159445,1906.1225,2893.321602,1535.472093,2131.428346,2637.140858,2016.228503,2029.622687,1835.869409,2097.368289,1909.254292,1597.144087,1553.790423,1714.301994,1866.242907,1744.375235,2175.825331,2260.824456,2353.618382,2169.440379,1864.403407,1719.277867,1702.392863,1886.167016,2924.94257,2027.408252,1643.635926,2861.218781,2062.982952,2544.532585,2645.80556,2961.921924,2006.729693,2599.691739,2647.340997,2928.364772,2884.820954,2920.320676
     Sweden,1880.54,1626.49,1680.62,1318.53,1371.77,1206.9,886.06,1208.62,1431.7,1584.59,1789.08,2022.66,2440.311675,1700.474661,2084.182359,1949.109522,1964.53391,1839.539388,1986.029763,2400.210452,2001.88,1359.43,846.6,1853.59844,1970.791775,1991.39269,2200.064566,3342.935983,1986.139891,2616.195203,2311.712235,1589.741837,2300.170631,1886.267458,1551.351694,1874.352618,1886.279403,1329.284332,1350.043223,1590.75977,1033.115751,1481.534026,1974.571823,2053.283762,1972.061823,1929.43456,2017.667966,2257.920813,2438.989272,2083.827172,1905.961842,2259.278976,1635.13175,1583.49868,1912.092174,1149.50324,843.6261702
     France,2130.32,1516.35,1361.31847,1431.75,1458.18,1468.71,1442.16,1739.46,2117.99,2743.8,2228.5,2357.86,1528.639826,1643.13064,1504.631408,1900.416573,1824.638149,1921.842212,2724.183401,1576.26559,1674.99,1399.78,1835.98,1839.856532,1906.158172,1620.784733,2246.550514,1710.452111,1650.477105,1747.61,1180.101412,1314.303947,1427.251384,1607.844508,1506.413274,2007.245174,1788.506271,1752.794565,1645.81942,1625.497892,1484.679209,1200.552623,1742.882935,1437.042021,1194.086762,1318.444443,1428.594056,1647.455235,1572.328815,1604.957842,1899.984144,1425.815477,3085.45974,2209.006777,2233.435925,1929.895646,2033.619258
