,REMITTANCES BY SOURCE (USD '000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,,,,,,,,,,2021,,,,,,,,,,,,2022,,,,,,,,,,,,2023,,,,,,,,,,,,2024,,,,,,,
,Region/Country,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August
,     U.S.A," 116,995 "," 105,296 "," 118,274 "," 118,681 "," 139,986 "," 142,623 "," 135,881 "," 155,516 "," 155,714 "," 156,362 "," 151,896 "," 168,768 "," 169,811 "," 153,469 "," 162,637 "," 171,281 "," 182,618 "," 179,973 "," 196,412 "," 179,151 "," 191,535 "," 222,508 "," 211,525 "," 221,536 "," 209,137 "," 186,503 "," 213,806 "," 210,811 "," 195,146 "," 183,361 "," 184,865 "," 181,586 "," 186,426 "," 191,552 "," 192,760 "," 198,478 "," 204,314 "," 182,382 "," 205,438 "," 182,820 "," 189,292 "," 189,018 "," 208,382 "," 192,364 "," 183,771 "," 190,849 "," 196,754 "," 215,008 "," 221,007 "," 207,166 "," 216,328 "," 195,972 "," 214,592 "," 196,120 "," 216,603 "," 237,719 "
,     Canada," 3,394 "," 2,894 "," 2,664 "," 3,287 "," 4,242 "," 4,050 "," 4,823 "," 3,701 "," 8,444 "," 3,633 "," 4,350 "," 5,575 "," 5,463 "," 6,306 "," 8,341 "," 9,993 "," 10,352 "," 8,912 "," 9,755 "," 10,125 "," 6,131 "," 3,323 "," 3,384 "," 5,308 "," 5,937 "," 5,405 "," 7,911 "," 7,738 "," 7,062 "," 8,659 "," 7,020 "," 4,597 "," 5,885 "," 5,304 "," 7,014 "," 6,676 "," 6,593 "," 5,771 "," 5,511 "," 3,997 "," 4,630 "," 5,649 "," 8,460 "," 9,040 "," 10,334 "," 11,104 "," 5,641 "," 6,379 "," 6,109 "," 7,137 "," 9,244 "," 17,453 "," 10,381 "," 10,355 "," 10,120 "," 11,302 "
,     Bahamas, 540 , 422 , 425 , -   , 37 , 56 , 76 , 4 , 9 , 82 , 11 , 8 , 24 , 19 , 309 , 47 , 15 , 11 , 38 , 40 , 35 , 37 , 4 , 138 , 42 , 11 , 117 , 19 , 43 , 40 , 40 , 38 , 40 , 140 , 49 , 40 , 47 , 15 , 52 , 47 , 90 , 45 , 17 , 82 , 59 , 52 , 64 , 57 , 53 , 218 , 36 , 86 , 33 , 260 , 88 , 83 
,     America_Other," 3,268 "," 2,841 "," 2,990 "," 1,803 "," 2,189 "," 2,358 "," 3,825 ", 516 , 658 , 710 , 505 , 623 , 688 , 355 ," 2,726 ", 891 , 595 , 538 , 573 ," 3,864 "," 2,328 ", 524 , 532 , 871 , 673 , 491 , 848 , 753 , 972 , 962 , 824 ," 1,124 ", 893 ," 1,883 "," 1,157 "," 1,466 "," 1,331 "," 1,093 "," 1,354 "," 1,361 "," 1,417 "," 1,003 ", 959 , 909 , 815 ," 1,279 "," 1,033 "," 1,007 ", 756 , 906 , 645 , 692 ," 1,087 ", 603 ," 1,050 "," 1,161 "
,    Total America," 124,196 "," 111,452 "," 124,352 "," 123,772 "," 146,455 "," 149,087 "," 144,605 "," 159,737 "," 164,825 "," 160,788 "," 156,762 "," 174,974 "," 175,986 "," 160,149 "," 174,013 "," 182,212 "," 193,580 "," 189,435 "," 206,778 "," 193,181 "," 200,029 "," 226,392 "," 215,444 "," 227,854 "," 215,789 "," 192,410 "," 222,683 "," 219,321 "," 203,223 "," 193,022 "," 192,750 "," 187,344 "," 193,245 "," 198,879 "," 200,979 "," 206,660 "," 212,286 "," 189,262 "," 212,355 "," 188,225 "," 195,429 "," 195,715 "," 217,817 "," 202,395 "," 194,980 "," 203,284 "," 203,492 "," 222,451 "," 227,925 "," 215,427 "," 226,252 "," 214,203 "," 226,094 "," 207,337 "," 227,861 "," 250,266 "
,     United Kingdom," 21,190 "," 17,568 "," 18,779 "," 16,191 "," 18,912 "," 19,120 "," 22,901 "," 20,640 "," 16,413 "," 20,006 "," 18,432 "," 20,078 "," 18,883 "," 23,262 "," 32,653 "," 33,128 "," 34,587 "," 31,101 "," 36,362 "," 28,534 "," 25,760 "," 18,591 "," 14,597 "," 21,445 "," 25,398 "," 25,886 "," 26,891 "," 27,268 "," 26,344 "," 26,801 "," 26,015 "," 27,425 "," 25,579 "," 30,571 "," 33,332 "," 31,610 "," 22,718 "," 25,188 "," 30,928 "," 24,026 "," 32,303 "," 34,159 "," 35,566 "," 23,712 "," 27,097 "," 23,243 "," 28,166 "," 27,084 "," 49,023 "," 31,275 "," 32,099 "," 18,902 "," 27,587 "," 24,558 "," 30,209 "," 27,048 "
,     Germany," 6,964 "," 6,156 "," 6,774 "," 6,247 "," 6,961 "," 7,308 "," 7,580 "," 7,211 "," 6,607 "," 7,175 "," 8,541 "," 12,083 "," 10,273 "," 7,361 "," 8,093 "," 9,583 "," 10,606 "," 9,195 "," 10,656 "," 10,413 "," 8,414 "," 10,788 "," 9,867 "," 10,967 "," 10,789 "," 9,115 "," 11,270 "," 10,171 "," 11,411 "," 10,131 "," 10,290 "," 9,755 "," 8,856 "," 9,977 "," 13,318 "," 14,466 "," 14,433 "," 10,868 "," 13,624 "," 10,027 "," 12,113 "," 12,095 "," 13,469 "," 18,276 "," 20,604 "," 22,684 "," 13,525 "," 14,096 "," 14,926 "," 13,537 "," 14,976 "," 31,898 "," 13,938 "," 13,830 "," 15,955 "," 15,780 "
